keys,en,ja,ko,zh_Hans,zh_Hant,de,fr,es,pt_BR,it,ar,ru
ENTITY_DESCRIPTION_GLASS,Brittle transparent material made by heating sand with lava.,砂を溶岩で熱して作る壊れやすい透明素材です。,모래를 용암으로 가열해 만드는 깨지기 쉬운 투명 재료입니다.,用熔岩加热沙子制成的易碎透明材料。,用熔岩加熱沙子製成的易碎透明材料。,Sprödes durchsichtiges Material aus mit Lava erhitztem Sand.,Un matériau transparent et fragile obtenu en chauffant du sable avec de la lave.,Material transparente y frágil creado al calentar arena con lava.,Material transparente e frágil feito ao aquecer areia com lava.,Materiale trasparente e fragile ottenuto scaldando sabbia con lava.,مادة شفافة وهشة تصنع بتسخين الرمل بالحمم.,Хрупкий прозрачный материал получаемый нагревом песка лавой.
ENTITY_DESCRIPTION_CHARCOAL,A light flammable fuel made by charring wood with lava.,木を溶岩で焼いて作る軽く燃えやすい燃料です。,나무를 용암으로 태워 만드는 가볍고 불에 잘 타는 연료입니다.,用熔岩炭化木材制成的轻质易燃燃料。,用熔岩炭化木材製成的輕質易燃燃料。,Ein leichter brennbarer Brennstoff aus mit Lava verkohltem Holz.,Un combustible léger et inflammable obtenu en carbonisant du bois avec de la lave.,Combustible ligero e inflamable creado al carbonizar madera con lava.,Combustível leve e inflamável feito ao carbonizar madeira com lava.,Combustibile leggero e infiammabile ottenuto carbonizzando legno con lava.,وقود خفيف قابل للاشتعال يصنع بتفحيم الخشب بالحمم.,Лёгкое горючее топливо получаемое обугливанием дерева лавой.
ENTITY_MEADOW_HOPPER,Meadow Hopper,草原ホッパー,초원 폴짝이,草原跳跳兽,草原跳跳獸,Wiesenhüpfer,Bondisseur des prés,Saltador de pradera,Saltador do prado,Saltafieno,وثاب المروج,Луговой прыгун
ENTITY_DESCRIPTION_MEADOW_HOPPER,A gentle grass-loving walker that flees after being hurt.,草を好み傷つくと逃げるおとなしい歩行生物です。,풀을 좋아하고 다치면 도망가는 온순한 육상 생물입니다.,温顺的草食陆行生物。受伤后会逃跑。,溫順的草食陸行生物。受傷後會逃跑。,Ein sanfter Grasliebhaber der nach Verletzungen flieht.,Une créature douce qui aime l’herbe et fuit après une blessure.,Una criatura mansa que ama la hierba y huye al ser herida.,Uma criatura dócil que ama relva e foge quando ferida.,Una creatura docile che ama l’erba e fugge se ferita.,مخلوق ودي يحب العشب ويهرب إذا أصيب.,Мирное наземное существо которое любит траву и убегает после удара.
ENTITY_SKY_MOTE,Sky Mote,スカイモート,하늘 티끌,天空微灵,天空微靈,Himmelsfunke,Lueur céleste,Mota celeste,Cisco celeste,Brillo celeste,هَباءة سماوية,Небесная пылинка
ENTITY_DESCRIPTION_SKY_MOTE,A shy flying creature that drifts through bright open air and flees on sight.,明るい空を漂い姿を見られると逃げる臆病な飛行生物です。,밝은 하늘을 떠다니며 위험을 보면 달아나는 수줍은 비행 생물입니다.,害羞的飞行生物。漂浮在明亮天空中并在发现危险时逃跑。,害羞的飛行生物。漂浮在明亮天空中並在發現危險時逃跑。,Ein scheues Flugwesen das durch helles Freiland treibt und bei Gefahr flieht.,Une créature volante timide qui dérive dans la lumière et fuit à vue.,Una criatura voladora tímida que flota en zonas luminosas y huye al verte.,Uma criatura voadora tímida que flutua em áreas claras e foge ao ver perigo.,Una timida creatura volante che vaga nella luce e fugge a vista.,مخلوق طائر خجول ينجرف في الأماكن المضيئة ويهرب عند رؤية الخطر.,Пугливое летающее существо которое парит на свету и убегает при виде опасности.
ENTITY_MOSS_CRAWLER,Moss Crawler,モスクローラー,이끼 크롤러,苔藓爬行兽,苔蘚爬行獸,Mooskriecher,Rampant des mousses,Rastreador de musgo,Rastejante do musgo,Strisciamuschio,زاحف الطحلب,Моховой ползун
ENTITY_DESCRIPTION_MOSS_CRAWLER,A dark-loving crawler drawn to moss that fights back when attacked.,暗闇と苔を好み攻撃されると反撃する這う生物です。,어둠과 이끼를 좋아하며 공격받으면 맞서 싸우는 기어 다니는 생물입니다.,喜欢黑暗和苔藓的爬行生物。受到攻击时会反击。,喜歡黑暗和苔蘚的爬行生物。受到攻擊時會反擊。,Ein dunkelheitsliebender Mooskriecher der sich bei Angriffen wehrt.,Une créature rampante attirée par la mousse et l’obscurité qui riposte.,Una criatura rastrera que ama la oscuridad y el musgo y se defiende al ser atacada.,Uma criatura rastejante que ama escuridão e musgo e revida ao ser atacada.,Una creatura strisciante che ama buio e muschio e reagisce agli attacchi.,مخلوق زاحف يحب الظلام والطحلب ويدافع عن نفسه عند مهاجمته.,Ползающее существо которое любит темноту и мох и отвечает на нападение.
ENTITY_POOL_DRIFTER,Pool Drifter,プールドリフター,웅덩이 유영자,水池漂游兽,水池漂游獸,Tümpeltreiber,Flotteur des mares,Derivador de charca,Flutuador da lagoa,Fluttuapozza,هائم البركة,Прудовый пловец
ENTITY_DESCRIPTION_POOL_DRIFTER,A timid free-swimming water creature that flees when danger appears.,水中を自由に泳ぎ危険を感じると逃げる臆病な生物です。,물속을 자유롭게 헤엄치며 위험이 나타나면 달아나는 겁 많은 생물입니다.,胆小的自由游泳水生生物。遇到危险会逃跑。,膽小的自由游泳水生生物。遇到危險會逃跑。,Ein scheues frei schwimmendes Wasserwesen das vor Gefahr flieht.,Une créature aquatique timide qui nage librement et fuit le danger.,Una criatura acuática tímida que nada libremente y huye del peligro.,Uma criatura aquática tímida que nada livremente e foge do perigo.,Una timida creatura acquatica che nuota libera e fugge dal pericolo.,مخلوق مائي خجول يسبح بحرية ويهرب عند ظهور الخطر.,Пугливое водное существо которое свободно плавает и убегает от опасности.
ENTITY_EMBER_WALKER,Ember Walker,エンバーウォーカー,잿불 보행자,余烬行者,餘燼行者,Glutläufer,Marchebraise,Caminante de brasas,Andarilho de brasas,Passabrace,ماشي الجمر,Угольный ходок
ENTITY_DESCRIPTION_EMBER_WALKER,A heatproof creature that walks on lava bottoms and defends itself when attacked.,溶岩の底を歩き攻撃されると反撃する耐熱生物です。,용암 바닥을 걷고 공격받으면 맞서 싸우는 내열 생물입니다.,耐热生物。沿熔岩底部行走并在受到攻击时反击。,耐熱生物。沿熔岩底部行走並在受到攻擊時反擊。,Ein hitzefestes Wesen das auf Lavaböden läuft und sich bei Angriffen wehrt.,Une créature résistante à la chaleur qui marche au fond de la lave et riposte.,Una criatura resistente al calor que camina por el fondo de la lava y se defiende.,Uma criatura resistente ao calor que anda no fundo da lava e se defende.,Una creatura resistente al calore che cammina sul fondo della lava e si difende.,مخلوق مقاوم للحرارة يمشي في قاع الحمم ويدافع عن نفسه.,Жаропрочное существо которое ходит по дну лавы и защищается при нападении.
DISCOVERY_PROPERTY_ACTIVITY_PERIOD,Active time,活動時間,활동 시간,活跃时间,活躍時間,Aktivzeit,Période active,Horario activo,Período ativo,Periodo attivo,وقت النشاط,Время активности
CREATURE_ACTIVITY_DAY,Day,昼,낮,白天,白天,Tag,Jour,Día,Dia,Giorno,النهار,День
CREATURE_ACTIVITY_NIGHT,Night,夜,밤,夜晚,夜晚,Nacht,Nuit,Noche,Noite,Notte,الليل,Ночь
CREATURE_ACTIVITY_ALL_DAY,All day,一日中,하루 종일,全天,全天,Ganztägig,Toute la journée,Todo el día,O dia todo,Tutto il giorno,طوال اليوم,Круглосуточно
ENTITY_DUSK_PROWLER,Dusk Prowler,黄昏の徘徊者,황혼의 추적자,暮色潜行兽,暮色潛行獸,Dämmerpirscher,Rôdeur du crépuscule,Acechador del ocaso,Espreitador do crepúsculo,Predatore del crepuscolo,متربص الغسق,Сумеречный охотник
ENTITY_DESCRIPTION_DUSK_PROWLER,A solitary night hunter that stalks open ground and attacks players on sight.,開けた地面を徘徊しプレイヤーを見つけると襲う孤独な夜の狩人です。,탁 트인 땅을 배회하다 플레이어를 발견하면 공격하는 외로운 밤 사냥꾼입니다.,独行的夜间猎手。潜伏在开阔地并在发现玩家时发动攻击。,獨行的夜間獵手。潛伏在開闊地並在發現玩家時發動攻擊。,Ein einzelner Nachtjäger der offenes Gelände durchstreift und Spieler sofort angreift.,Un chasseur nocturne solitaire qui rôde à découvert et attaque les joueurs à vue.,Un cazador nocturno solitario que acecha terreno abierto y ataca al ver jugadores.,Um caçador noturno solitário que ronda terreno aberto e ataca jogadores à vista.,Un cacciatore notturno solitario che vaga allo scoperto e attacca i giocatori a vista.,صياد ليلي منفرد يطارد في الأرض المفتوحة ويهاجم اللاعبين عند رؤيتهم.,Одинокий ночной хищник который крадётся по открытой местности и нападает на игроков при встрече.
ENTITY_GLOOMWING,Gloomwing,グルームウィング,어둠날개,幽暗翼兽,幽暗翼獸,Düsterflügel,Aile-sombre,Ala sombría,Asa sombria,Ala oscura,جناح الظلام,Мрачнокрыл
ENTITY_DESCRIPTION_GLOOMWING,A rare dark-loving flier that hunts above forests and caverns after sunset.,日没後に森や洞窟の上を狩る暗闇を好む珍しい飛行生物です。,해가 진 뒤 숲과 동굴 위를 사냥하는 희귀한 어둠 선호 비행 생물입니다.,喜爱黑暗的稀有飞行生物。日落后在森林和洞穴上方狩猎。,喜愛黑暗的稀有飛行生物。日落後在森林和洞穴上方狩獵。,Ein seltener dunkelheitsliebender Flieger der nach Sonnenuntergang über Wäldern und Höhlen jagt.,Une créature volante rare qui aime l’obscurité et chasse après le coucher du soleil.,Una criatura voladora rara que ama la oscuridad y caza tras la puesta de sol.,Uma criatura voadora rara que ama a escuridão e caça após o pôr do sol.,Una rara creatura volante che ama il buio e caccia dopo il tramonto.,مخلوق طائر نادر يحب الظلام ويصطاد فوق الغابات والكهوف بعد الغروب.,Редкое летающее существо которое любит темноту и охотится над лесами и пещерами после заката.
ENTITY_CINDER_EEL,Cinder Eel,シンダーイール,잿불 장어,烬火鳗,燼火鰻,Glutaal,Anguille de braise,Anguila de brasas,Enguia de brasas,Anguilla di brace,أنقليس الجمر,Пепельный угорь
ENTITY_DESCRIPTION_CINDER_EEL,A fierce lava swimmer that emerges at night and attacks anything nearby.,夜に現れて近くのものを襲う獰猛な溶岩の泳ぎ手です。,밤에 나타나 주변의 모든 것을 공격하는 사나운 용암 수영 생물입니다.,凶猛的熔岩游泳生物。夜间出现并攻击附近的一切。,兇猛的熔岩游泳生物。夜間出現並攻擊附近的一切。,Ein wilder Lavaschwimmer der nachts auftaucht und alles in der Nähe angreift.,Un féroce nageur de lave qui apparaît la nuit et attaque tout ce qui approche.,Un feroz nadador de lava que emerge de noche y ataca todo lo cercano.,Um nadador feroz de lava que surge à noite e ataca tudo ao redor.,Un feroce nuotatore di lava che emerge di notte e attacca tutto ciò che è vicino.,سباح حمم شرس يظهر ليلا ويهاجم كل ما يقترب.,Свирепый лавовый пловец который появляется ночью и атакует всё поблизости.
ENTITY_FOREST_FOX,Forest Fox,森のキツネ,숲여우,森林狐狸,森林狐狸,Waldfuchs,Renard des bois,Zorro del bosque,Raposa da floresta,Volpe del bosco,ثعلب الغابة,Лесная лиса
ENTITY_DESCRIPTION_FOREST_FOX,A quick orange forest wanderer that avoids danger and follows berry-like plants.,危険を避け、木の実のなる植物を追う素早いオレンジ色の森のキツネです。,위험을 피하고 열매 식물을 따라다니는 재빠른 주황색 숲여우입니다.,敏捷的橙色森林狐狸，会避开危险并寻找浆果类植物。,敏捷的橙色森林狐狸，會避開危險並尋找莓果類植物。,Ein schneller orangefarbener Waldfuchs der Gefahr meidet und Beerenpflanzen folgt.,Un renard orange rapide qui évite le danger et recherche les plantes à baies.,Un veloz zorro naranja que evita el peligro y sigue plantas con bayas.,Uma rápida raposa laranja que evita o perigo e procura plantas com frutos.,Una rapida volpe arancione che evita il pericolo e cerca piante con bacche.,ثعلب غابة برتقالي سريع يتجنب الخطر ويتبع النباتات ذات الثمار.,Быстрая рыжая лесная лиса которая избегает опасности и ищет ягодные растения.
ENTITY_SNOW_PENGUIN,Snow Penguin,雪のペンギン,눈 펭귄,雪地企鹅,雪地企鵝,Schneepinguin,Manchot des neiges,Pingüino de nieve,Pinguim da neve,Pinguino delle nevi,بطريق الثلج,Снежный пингвин
ENTITY_DESCRIPTION_SNOW_PENGUIN,A friendly cold-weather waddler that stays near ice and open water.,氷と開けた水辺の近くに暮らす友好的な寒冷地のペンギンです。,얼음과 탁 트인 물가에 머무는 친근한 추운 지방의 펭귄입니다.,友好的寒地企鹅，喜欢待在冰面和开阔水域附近。,友好的寒地企鵝，喜歡待在冰面和開闊水域附近。,Ein freundlicher Kältebewohner der in der Nähe von Eis und offenem Wasser bleibt.,Un sympathique habitant du froid qui reste près de la glace et de l’eau libre.,Un amistoso habitante del frío que permanece cerca del hielo y el agua abierta.,Um amigável habitante do frio que fica perto do gelo e de águas abertas.,Un amichevole abitante del freddo che resta vicino al ghiaccio e all’acqua aperta.,بطريق ودود يعيش في البرد ويبقى قرب الجليد والمياه المفتوحة.,Дружелюбный обитатель холода который держится возле льда и открытой воды.
ENTITY_SAND_CRAB,Sand Crab,砂ガニ,모래게,沙滩蟹,沙灘蟹,Sandkrabbe,Crabe des sables,Cangrejo de arena,Caranguejo da areia,Granchio della sabbia,سلطعون الرمال,Песчаный краб
ENTITY_DESCRIPTION_SAND_CRAB,A small beach crab that scuttles over sand and defends itself with bright claws.,砂の上を素早く歩き、鮮やかなハサミで身を守る小さな浜辺のカニです。,모래 위를 재빨리 다니며 밝은 집게발로 자신을 지키는 작은 해변 게입니다.,在沙地上横行、用鲜艳蟹钳保护自己的小型沙滩蟹。,在沙地上橫行、用鮮豔蟹鉗保護自己的小型沙灘蟹。,Eine kleine Strandkrabbe die über Sand huscht und sich mit leuchtenden Scheren verteidigt.,Un petit crabe de plage qui file sur le sable et se défend avec ses pinces colorées.,Un pequeño cangrejo de playa que corre por la arena y se defiende con pinzas brillantes.,Um pequeno caranguejo de praia que corre pela areia e se defende com garras coloridas.,Un piccolo granchio da spiaggia che corre sulla sabbia e si difende con chele vivaci.,سلطعون شاطئي صغير يتحرك فوق الرمل ويدافع عن نفسه بمخالبه الملونة.,Маленький пляжный краб который бегает по песку и защищается яркими клешнями.
ENTITY_MOSS_SLUG,Moss Slug,コケナメクジ,이끼 민달팽이,苔藓蛞蝓,苔蘚蛞蝓,Moosschnecke,Limace des mousses,Babosa de musgo,Lesma do musgo,Limaccia del muschio,بزاقة الطحلب,Моховой слизень
ENTITY_DESCRIPTION_MOSS_SLUG,A slow harmless slug that comes out in damp shade and seeks mossy plants.,湿った日陰に現れ、コケの植物を探すゆっくりした無害なナメクジです。,축축한 그늘에 나타나 이끼 식물을 찾는 느리고 해롭지 않은 민달팽이입니다.,缓慢无害的蛞蝓，会在潮湿阴影中出现并寻找苔藓植物。,緩慢無害的蛞蝓，會在潮濕陰影中出現並尋找苔蘚植物。,Eine langsame harmlose Schnecke die im feuchten Schatten erscheint und Moospflanzen sucht.,Une limace lente et inoffensive qui sort dans l’ombre humide et cherche la mousse.,Una babosa lenta e inofensiva que sale en la sombra húmeda y busca musgo.,Uma lesma lenta e inofensiva que aparece na sombra úmida e procura musgo.,Una limaccia lenta e innocua che esce nell’ombra umida e cerca il muschio.,بزاقة بطيئة غير مؤذية تظهر في الظل الرطب وتبحث عن الطحالب.,Медленный безобидный слизень который появляется во влажной тени и ищет мох.
REVIEW_SURVEY_TITLE,How is Tiny Block going?,Tiny Blockはどうですか？,Tiny Block을 즐기고 계신가요?,Tiny Block 体验如何？,Tiny Block 體驗如何？,Wie gefällt dir Tiny Block?,Comment se passe Tiny Block ?,¿Qué tal va Tiny Block?,Como está sendo Tiny Block?,Come sta andando Tiny Block?,كيف تسير تجربتك مع Tiny Block؟,Как вам Tiny Block?
REVIEW_SURVEY_BODY,Your feedback helps us make the game better.,ご意見はゲームの改善に役立ちます。,여러분의 의견은 더 나은 게임을 만드는 데 큰 도움이 됩니다.,您的反馈能帮助我们改进游戏。,您的意見能幫助我們改進遊戲。,Dein Feedback hilft uns das Spiel zu verbessern.,Vos commentaires nous aident à améliorer le jeu.,Tus comentarios nos ayudan a mejorar el juego.,Seu feedback nos ajuda a melhorar o jogo.,Il tuo feedback ci aiuta a migliorare il gioco.,تساعدنا ملاحظاتك على تحسين اللعبة.,Ваши отзывы помогают нам улучшать игру.
REVIEW_EXPERIENCE_GREAT,Great!,とても楽しい！,좋아요!,很棒！,很棒！,Großartig!,Super !,¡Genial!,Ótima!,Fantastica!,رائعة!,Отлично!
REVIEW_EXPERIENCE_BETTER,Could be better,改善の余地がある,더 좋아질 수 있어요,还可以更好,還可以更好,Könnte besser sein,Pourrait être mieux,Podría mejorar,Poderia melhorar,Potrebbe migliorare,يمكن أن تكون أفضل,Может быть лучше
REVIEW_ACTION_TITLE_GREAT,Glad you're enjoying it!,楽しんでいただけて嬉しいです！,즐겁게 플레이하고 계시다니 기쁘네요!,很高兴您喜欢这款游戏！,很高興您喜歡這款遊戲！,Schön dass es dir gefällt!,Ravis que le jeu vous plaise !,¡Nos alegra que te guste!,Que bom que está gostando!,Siamo felici che ti piaccia!,يسعدنا أنك تستمتع بها!,Рады что вам нравится!
REVIEW_ACTION_TITLE_BETTER,Thanks for telling us.,教えていただきありがとうございます。,알려주셔서 감사합니다.,感谢您告诉我们。,感謝您告訴我們。,Danke für dein Feedback.,Merci de nous l’avoir dit.,Gracias por contárnoslo.,Obrigado por nos contar.,Grazie per avercelo detto.,شكرا لإخبارنا.,Спасибо что рассказали.
REVIEW_ACTION_BODY,Choose either option — both are always available.,どちらのオプションもいつでも利用できます。,두 옵션 모두 언제나 선택할 수 있습니다.,两个选项始终都可用。,兩個選項始終都可用。,Beide Optionen sind immer verfügbar.,Les deux options sont toujours disponibles.,Ambas opciones están siempre disponibles.,As duas opções estão sempre disponíveis.,Entrambe le opzioni sono sempre disponibili.,كلا الخيارين متاحان دائما.,Оба варианта доступны всегда.
REVIEW_RATE_STORE,Rate Tiny Block,ストアで評価,스토어에서 평가하기,评价 Tiny Block,評價 Tiny Block,Tiny Block bewerten,Noter Tiny Block,Valorar Tiny Block,Avaliar Tiny Block,Valuta Tiny Block,قيّم Tiny Block,Оценить Tiny Block
REVIEW_SEND_FEEDBACK,Send private feedback,個別にフィードバックを送る,비공개 의견 보내기,发送私密反馈,傳送私人意見,Privates Feedback senden,Envoyer un avis privé,Enviar comentarios privados,Enviar feedback privado,Invia feedback privato,إرسال ملاحظات خاصة,Отправить личный отзыв
REVIEW_NOT_NOW,Not now,今はしない,나중에,暂不,稍後再說,Jetzt nicht,Pas maintenant,Ahora no,Agora não,Non ora,ليس الآن,Не сейчас
REVIEW_CONTINUE,Continue,続ける,계속하기,继续,繼續,Weiter,Continuer,Continuar,Continuar,Continua,متابعة,Продолжить
